Health,Disease
4,9
2,9
4,11
5,8
5,9
2,11
4,8
4,7
3,8
1,9
2,10
4,8
4,11
5,11
5,8
3,11
2,8
1,9
3,7
2,9
2,8
5,7
1,8
4,10
1,10
1,9
2,10
1,9
5,10
5,7
5,7
1,11
2,8
4,10
1,7
3,7
1,8
2,7
4,9
4,11
2,7
3,10
3,11
2,9
4,10
3,7
3,11
4,10
2,10
2,8
2,11
3,10
3,10
2,11
3,11
5,7
5,10
4,7
5,7
1,10
5,8
5,8
3,10
1,9
2,11
2,10
4,10
3,10
3,7
1,10
4,7
4,10
2,8
4,7
5,8
4,9
5,10
1,7
1,10
5,11
1,8
2,10
2,11
1,7
1,10
3,7
5,7
5,10
2,9
3,8
3,10
1,10
3,11
3,9
2,8
4,7
4,7
3,8
1,10
4,9
4,11
5,7
2,11
2,8
3,7
2,9
2,10
3,10
5,11
3,9
4,8
2,11
4,8
4,9
5,11
4,9
1,11
2,11
2,8
4,7
1,7
